기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","","",14310065.5,12606523,1458356.7,3171320,9435203
"2015","그리스","72","철강",36745.2,21855,1195.6,163,21692
"2015","네덜란드","72","철강",94523.4,134255,86340.4,129619,4636
"2015","덴마크","72","철강",50473.4,32989,36.7,125,32864
"2015","독일","72","철강",37414.0,67853,41330.7,96872,-29019
"2015","라트비아","72","철강",1520.7,1252,78.5,12,1240
"2015","루마니아","72","철강",76994.4,63431,2366.0,5470,57960
"2015","룩셈부르그","72","철강",396.5,928,4281.1,3884,-2956
"2015","리투아니아","72","철강",7361.5,6247,3.1,4,6243
"2015","몰타","72","철강",2.0,117,0.0,0,117
"2015","벨기에","72","철강",363022.4,299864,38695.6,86967,212897
"2015","불가리아","72","철강",2468.0,1860,175.2,212,1648
"2015","사이프러스","72","철강",0.0,0,157.4,35,-35
"2015","스웨덴","72","철강",52233.1,42436,66665.6,144497,-102061
"2015","스페인","72","철강",170680.3,110792,2273.1,5569,105223
"2015","슬로바키아","72","철강",6493.8,11519,12.7,34,11484
"2015","슬로베니아","72","철강",361514.0,276131,125234.4,33156,242974
"2015","아일랜드","72","철강",3962.3,2928,109.0,90,2838
"2015","에스토니아","72","철강",7929.6,6671,27.3,42,6630
"2015","오스트리아","72","철강",1787.0,2884,7041.7,35444,-32560
"2015","이탈리아","72","철강",714495.8,612100,19614.1,60525,551575
"2015","체코공화국","72","철강",3188.2,7151,1674.1,7813,-661
"2015","크로아티아","72","철강",1093.5,971,0.0,0,971
"2015","포루투갈","72","철강",67872.0,36929,528.7,2744,34185
"2015","폴란드","72","철강",131837.9,126262,511.2,1350,124912
"2015","프랑스","72","철강",36920.6,36183,44505.7,95800,-59617
"2015","핀란드","72","철강",2950.9,3554,28290.8,68430,-64876
"2015","헝가리","72","철강",1467.7,1564,1.3,51,1514
"2016","그리스","72","철강",112896.9,58749,1307.9,137,58612
"2016","네덜란드","72","철강",102481.4,152917,13509.6,15973,136945
"2016","덴마크","72","철강",27663.3,13993,1374.2,198,13795
"2016","독일","72","철강",48038.3,67959,42325.8,91911,-23952
"2016","라트비아","72","철강",3775.4,2766,147.4,22,2743
"2016","루마니아","72","철강",131655.3,80027,1781.8,3829,76198
"2016","룩셈부르그","72","철강",0.0,0,20291.9,18024,-18024
"2016","리투아니아","72","철강",7858.5,5976,176.3,16,5960
"2016","몰타","72","철강",0.1,12,0.0,0,12
"2016","벨기에","72","철강",435165.0,310019,22885.4,40919,269100
"2016","불가리아","72","철강",2177.5,2239,85.7,140,2099
"2016","스웨덴","72","철강",81727.6,48997,76463.9,139950,-90953
"2016","스페인","72","철강",299171.3,184180,2380.7,3964,180215
"2016","슬로바키아","72","철강",6325.5,8076,40.1,52,8023
"2016","슬로베니아","72","철강",414367.0,309465,25262.7,7808,301657
"2016","아일랜드","72","철강",5409.1,3872,217.4,75,3797
"2016","에스토니아","72","철강",6775.6,5122,468.0,1083,4039
"2016","오스트리아","72","철강",2876.3,1505,4551.7,18639,-17133
"2016","이탈리아","72","철강",948023.5,608548,17257.1,33729,574819
"2016","체코공화국","72","철강",9828.8,11019,1641.5,4929,6089
"2016","크로아티아","72","철강",1755.6,1844,0.0,0,1844
"2016","포루투갈","72","철강",57290.2,31701,1103.6,2241,29460
